,u10,v10,d2m,t2m,lsm,msl,siconc,sst,skt,tcc,Year,Yearday,Month,Day,Time,Airtemp,Pressure,Wndspd,Wnddir,Humidity,DelT,Date,ds_match
2012-02-07 06:00:00,5.3434567,0.4085876,259.42725,268.40588,0.08943986,99917.29,0.023871776,271.5099,270.54712,0.0,2012.0,38.0,2.0,7.0,600.0,-4.8,988.5,7.5,298.0,444.0,444.0,2012 2 7,True
2012-02-07 12:00:00,5.348006,-0.72670573,260.208,268.17227,0.08943986,99824.4,0.023871776,271.5099,270.21362,0.0,2012.0,38.0,2.0,7.0,1200.0,-7.6,987.5,8.8,318.0,48.0,444.0,2012 2 7,True
2012-02-07 18:00:00,6.4590325,-0.7652646,260.68158,267.58554,0.08943986,99663.59,0.023871776,271.5099,270.29724,0.003899201,2012.0,38.0,2.0,7.0,1800.0,-8.5,984.9,17.7,299.0,44.3,444.0,2012 2 7,True
2012-02-08 00:00:00,7.4391184,-0.751288,259.41595,268.2929,0.08943986,99511.54,0.024837362,271.5544,270.73685,0.0,2012.0,39.0,2.0,8.0,0.0,-6.0,983.6,16.1,296.0,39.6,444.0,2012 2 8,True
2012-02-08 06:00:00,8.449914,0.072831854,259.46622,269.05215,0.08943986,99447.12,0.024837362,271.5544,270.6619,0.0,2012.0,39.0,2.0,8.0,600.0,-4.2,981.3,20.6,291.0,40.0,444.0,2012 2 8,True
2012-02-08 12:00:00,9.55726,-0.5413209,258.24506,267.35162,0.08943986,99319.65,0.024837362,271.5544,270.2675,0.0,2012.0,39.0,2.0,8.0,1200.0,-7.2,444.0,26.0,288.0,33.1,444.0,2012 2 8,True
2012-02-08 18:00:00,8.853912,-1.7182239,256.91965,265.9723,0.08943986,99198.21,0.024837362,271.5544,270.1821,0.0,2012.0,39.0,2.0,8.0,1800.0,-10.6,978.3,26.4,297.0,38.0,444.0,2012 2 8,True
2012-02-09 00:00:00,6.367558,-2.3220034,257.6959,266.84506,0.08943986,99194.46,0.02495011,271.58688,270.65567,0.07331261,2012.0,40.0,2.0,9.0,0.0,-7.6,979.4,19.3,289.0,38.0,444.0,2012 2 9,True
2012-02-09 06:00:00,5.8027496,-0.56087637,258.2863,267.6863,0.08943986,99226.18,0.02495011,271.58688,270.58054,0.31460968,2012.0,40.0,2.0,9.0,600.0,-5.4,980.1,12.4,292.0,40.0,444.0,2012 2 9,True
2012-02-09 12:00:00,5.9362416,-0.21640338,259.34317,267.49503,0.08943986,99264.266,0.02495011,271.58688,270.3326,0.29837075,2012.0,40.0,2.0,9.0,1200.0,-8.5,982.1,11.7,293.0,48.0,444.0,2012 2 9,True
2012-02-09 18:00:00,7.909822,0.2347384,259.6375,266.1782,0.08943986,99359.53,0.02495011,271.58688,270.3224,0.26129788,2012.0,40.0,2.0,9.0,1800.0,-10.8,983.2,13.4,296.0,49.0,444.0,2012 2 9,True
2012-02-10 00:00:00,7.8264985,0.24310692,259.62006,266.54004,0.08943986,99395.96,0.02234074,271.57043,270.69702,0.15129541,2012.0,41.0,2.0,10.0,0.0,-10.0,982.8,16.2,300.0,41.3,444.0,2012 2 10,True
2012-02-10 06:00:00,7.08116,-0.31999227,259.04294,267.0823,0.08943986,99305.35,0.02234074,271.57043,270.56158,0.10649435,2012.0,41.0,2.0,10.0,600.0,-7.3,981.2,13.7,306.0,43.0,444.0,2012 2 10,True
2012-02-10 12:00:00,7.3079143,-0.61198795,258.5627,266.2935,0.08943986,99168.195,0.02234074,271.57043,270.11975,0.05088116,2012.0,41.0,2.0,10.0,1200.0,-8.9,980.3,13.2,304.0,44.0,444.0,2012 2 10,True
2012-02-10 18:00:00,6.7360067,-0.6935805,257.60165,264.92227,0.08943986,98906.67,0.02234074,271.57043,270.083,0.038182855,2012.0,41.0,2.0,10.0,1800.0,-12.1,978.2,15.8,293.0,46.6,444.0,2012 2 10,True
2012-02-11 00:00:00,6.7327204,-1.0513906,256.7777,265.26248,0.08943986,98718.5,0.019548254,271.62766,270.5188,0.013734343,2012.0,42.0,2.0,11.0,0.0,-10.5,975.3,17.3,295.0,37.5,444.0,2012 2 11,True
2012-02-11 06:00:00,6.0454903,-1.2790828,257.08487,266.13412,0.08943986,98432.66,0.019548254,271.62766,270.35654,0.015775904,2012.0,42.0,2.0,11.0,600.0,-5.5,972.8,5.0,308.0,444.0,444.0,2012 2 11,True
2012-02-11 12:00:00,5.9989247,-2.005367,256.98016,265.755,0.08943986,98248.69,0.019548254,271.62766,270.06055,0.099299505,2012.0,42.0,2.0,11.0,1200.0,-8.1,971.5,7.9,293.0,42.0,444.0,2012 2 11,True
2012-02-11 18:00:00,6.435184,-0.56837296,256.70224,264.45688,0.08943986,98172.12,0.019548254,271.62766,270.05627,0.09421247,2012.0,42.0,2.0,11.0,1800.0,-11.7,971.1,14.4,298.0,42.0,444.0,2012 2 11,True
2012-02-12 00:00:00,5.698838,0.3770896,256.80606,264.89532,0.08943986,98364.13,0.01943211,271.59662,270.55197,0.081468396,2012.0,43.0,2.0,12.0,0.0,-9.9,973.3,10.4,295.0,43.0,444.0,2012 2 12,True
2012-02-12 06:00:00,6.1455626,0.14678234,259.1321,266.78116,0.08943986,98659.29,0.01943211,271.59662,270.5375,0.12714083,2012.0,43.0,2.0,12.0,600.0,-7.9,976.8,6.0,308.0,56.0,444.0,2012 2 12,True
2012-02-12 12:00:00,5.916627,0.3635489,261.8977,267.7167,0.08943986,99045.9,0.01943211,271.59662,270.2795,0.3227,2012.0,43.0,2.0,12.0,1200.0,-8.8,981.9,4.0,288.0,83.7,444.0,2012 2 12,True
2012-02-12 18:00:00,4.4728837,2.0962288,263.22827,268.1356,0.08943986,99512.65,0.01943211,271.59662,270.522,0.74033254,2012.0,43.0,2.0,12.0,1800.0,-9.7,986.5,6.9,301.0,77.0,444.0,2012 2 12,True
2012-02-13 00:00:00,4.1640153,3.1045713,264.17682,269.06,0.08943986,99989.21,0.023837017,271.5318,271.01166,0.86210924,2012.0,44.0,2.0,13.0,0.0,-8.3,991.0,6.2,299.0,77.0,444.0,2012 2 13,True
2012-02-13 06:00:00,4.7967386,2.4163227,265.41446,269.47388,0.08943986,100333.79,0.023837017,271.5318,271.02835,0.8135114,2012.0,44.0,2.0,13.0,600.0,-7.0,994.4,5.2,278.0,84.2,444.0,2012 2 13,True
2012-02-13 12:00:00,3.336799,2.144435,265.89313,269.12567,0.08943986,100648.516,0.023837017,271.5318,270.68378,0.9360403,2012.0,44.0,2.0,13.0,1200.0,-7.4,996.6,9.5,275.0,94.0,444.0,2012 2 13,True
2012-02-13 18:00:00,2.1191266,2.132986,264.83228,268.58755,0.08943986,100894.59,0.023837017,271.5318,270.82135,0.9408253,2012.0,44.0,2.0,13.0,1800.0,-7.6,999.4,3.1,219.0,94.0,444.0,2012 2 13,True
